City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs),Date
461,Birpur,26.48,86.75,53.64,73,1,8.7,IN,clear sky,0,0,1/5/2020 20:04
462,Cairns,-16.92,145.77,77,83,40,3.36,AU,scattered clouds,0,0,1/5/2020 20:00
463,Innisfail,-17.52,146.03,64.99,99,12,1.01,AU,light rain,0.25,0,1/5/2020 19:59
464,Nioaque,-21.16,-55.83,96.15,24,1,7.2,BR,clear sky,0,0,1/5/2020 20:04
465,Kajaani,64.22,27.73,17.6,85,100,11.41,FI,overcast clouds,0,0,1/5/2020 20:04
466,Sandakan,5.84,118.12,80.6,83,20,6.93,MY,few clouds,0,0,1/5/2020 20:04
467,Jumla,29.28,82.18,23.38,30,100,4.81,NP,overcast clouds,0,0,1/5/2020 20:04
468,Altamont,49.4,-98.5,30.2,50,1,21.92,CA,clear sky,0,0,1/5/2020 20:04
469,Arman,59.7,150.17,17.53,67,72,7.99,RU,broken clouds,0,0,1/5/2020 20:04
470,Forest Acres,34.02,-80.99,57.2,37,1,8.05,US,clear sky,0,0,1/5/2020 20:04
471,Acajutla,13.59,-89.83,80.6,36,0,11.41,SV,clear sky,0,0,1/5/2020 20:04
472,Liku,-0.73,119.89,68.52,94,100,2.48,ID,moderate rain,7.44,0,1/5/2020 20:04
473,Wadi Musa,30.32,35.48,40.69,56,0,2.1,JO,clear sky,0,0,1/5/2020 20:04
474,Aljezur,37.31,-8.8,57,74,34,4,PT,scattered clouds,0,0,1/5/2020 20:04
475,Bowen,-20.01,148.25,75,88,40,1.12,AU,scattered clouds,0,0,1/5/2020 20:04
476,Ahuimanu,21.44,-157.84,77,83,90,4.7,US,light intensity drizzle,0,0,1/5/2020 20:04
477,Cabedelo,-6.97,-34.84,84.2,66,40,11.41,BR,scattered clouds,0,0,1/5/2020 20:04
478,Bilibino,68.06,166.44,-10.95,65,0,2.04,RU,clear sky,0,0,1/5/2020 20:04
479,Panzhihua,26.59,101.72,43.7,95,74,1.05,CN,broken clouds,0,0,1/5/2020 20:04
480,Sarangani,5.4,125.46,81.55,72,7,19.86,PH,clear sky,0,0,1/5/2020 20:04
481,Whitianga,-36.83,175.7,64,80,2,13,NZ,clear sky,0,0,1/5/2020 20:04
482,Tazovskiy,67.47,78.7,14.52,91,17,16.73,RU,few clouds,0,0,1/5/2020 19:59
483,Ozark,37.02,-93.21,59,37,5,12.75,US,clear sky,0,0,1/5/2020 20:04
484,Paita,-5.09,-81.11,62.6,100,0,13.87,PE,clear sky,0,0,1/5/2020 20:04
485,Terme,41.21,36.97,39.2,69,40,6.93,TR,scattered clouds,0,0,1/5/2020 20:04
486,Wladyslawowo,54.79,18.4,35.01,84,90,9.17,PL,overcast clouds,0,0,1/5/2020 20:04
487,Darhan,49.49,105.92,0.79,94,63,5.21,MN,broken clouds,0,0,1/5/2020 20:04
488,Macklin,52.34,-109.94,21.88,80,8,8.59,CA,clear sky,0,0,1/5/2020 20:04
489,Lipari,38.47,14.95,53.6,22,40,16.11,IT,scattered clouds,0,0,1/5/2020 20:04
490,Yulara,-25.24,130.99,64.4,88,90,9.17,AU,overcast clouds,0,0,1/5/2020 20:04
491,Banposh,22.25,84.8,53.89,67,0,3.18,IN,clear sky,0,0,1/5/2020 20:04
492,Zhangjiakou,40.77,114.88,19.08,96,100,1.34,CN,light snow,0,0.25,1/5/2020 20:04
493,Dawlatabad,36.41,64.91,41.32,77,81,1.99,AF,broken clouds,0,0,1/5/2020 20:04
494,Borogontsy,62.67,131.17,-5.8,98,100,4.56,RU,light snow,0,0.25,1/5/2020 20:04
495,Makungu,-8.74,35.29,59.09,91,100,1.01,TZ,overcast clouds,0,0,1/5/2020 20:04
496,Hinton,53.4,-117.57,27.43,66,100,15.14,CA,overcast clouds,0,0,1/5/2020 20:04
497,Sabang,13.8,121.11,79,71,8,8.01,PH,clear sky,0,0,1/5/2020 20:04
498,Phonhong,18.5,102.42,67.17,84,0,0.85,LA,clear sky,0,0,1/5/2020 20:04
