City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
60,Aksehir,TR,2020-01-03 05:19:46,38.36,31.42,30.4,80,92,4.21
61,Cape Town,ZA,2020-01-03 05:15:01,-33.93,18.42,70.0,82,20,11.41
62,Punta Alta,AR,2020-01-03 05:19:46,-27.46,-55.82,73.4,69,8,9.17
63,Port Lincoln,AU,2020-01-03 05:19:47,-34.72,135.86,97.03,18,6,17.65
64,Santona,ES,2020-01-03 05:19:47,43.44,-3.46,51.01,76,75,3.36
65,Mount Gambier,AU,2020-01-03 05:13:40,-37.83,140.78,98.6,9,46,16.11
66,Victoria,BN,2020-01-03 05:15:16,5.28,115.24,86.0,70,75,4.7
67,Tasiilaq,GL,2020-01-03 05:19:47,65.61,-37.64,15.8,40,0,18.34
68,Burayevo,RU,2020-01-03 05:19:47,55.84,55.41,3.47,94,73,12.01
69,Cap Malheureux,MU,2020-01-03 05:19:48,-19.98,57.61,78.8,94,75,9.17
70,Abdulino,RU,2020-01-03 05:19:48,53.68,53.66,3.87,92,0,7.52
71,Nizwa,OM,2020-01-03 05:19:48,22.93,57.53,66.11,40,0,3.22
72,Malindi,KE,2020-01-03 05:19:48,-3.22,40.12,82.49,76,41,7.23
73,Saint-Philippe,CA,2020-01-03 05:19:48,45.36,-73.48,41.0,65,90,4.7
74,Broken Hill,AU,2020-01-03 05:18:11,-31.97,141.45,107.6,6,0,12.75
75,Kruisfontein,ZA,2020-01-03 05:19:48,-34.0,24.73,71.42,74,5,5.03
76,Nizhniy Baskunchak,RU,2020-01-03 05:19:49,48.22,46.83,30.06,78,100,10.69
77,Dalbandin,PK,2020-01-03 05:19:49,28.9,64.41,58.62,57,42,3.91
78,Grand Gaube,MU,2020-01-03 05:13:21,-20.01,57.66,78.8,94,75,9.17
79,Bandarbeyla,SO,2020-01-03 05:18:01,9.49,50.81,78.37,75,32,16.02
80,Balikpapan,ID,2020-01-03 05:19:49,-1.24,116.86,83.89,82,91,2.17
81,Hermanus,ZA,2020-01-03 05:19:49,-34.42,19.24,64.99,95,2,9.44
82,Mirai,BR,2020-01-03 05:19:49,-21.2,-42.61,71.01,99,100,1.59
83,Khatanga,RU,2020-01-03 05:19:50,71.98,102.47,-5.12,99,100,2.59
84,Hovd,NO,2020-01-03 05:12:43,63.83,10.7,39.99,86,75,20.8
85,Acapulco,MX,2020-01-03 05:19:50,16.86,-99.88,80.6,74,40,3.22
86,Zhigansk,RU,2020-01-03 05:19:50,66.77,123.37,-34.11,93,0,9.31
87,Denia,ES,2020-01-03 05:19:51,38.84,0.11,48.0,93,0,1.99
88,Hearst,CA,2020-01-03 05:19:51,49.69,-83.67,29.26,96,96,8.75
89,Bandar-E Lengeh,IR,2020-01-03 05:19:51,26.56,54.88,62.6,63,75,2.68
90,New Norfolk,AU,2020-01-03 05:19:51,-42.78,147.06,77.0,56,75,12.75
91,Villa Carlos Paz,AR,2020-01-03 05:19:51,-31.42,-64.5,73.0,77,40,5.82
92,Oneonta,US,2020-01-03 05:19:51,42.45,-75.06,42.01,72,85,1.01
93,Hasaki,JP,2020-01-03 05:17:49,35.73,140.83,57.99,46,20,1.12
94,Kirakira,SB,2020-01-03 05:19:52,-10.46,161.92,80.8,83,43,6.93
